['apk', 'serba', 'ribet', 'suami', 'daftar', 'coba', 'transaksi', 'eh', 'gagal', 'saldo', 'potong', 'kabar', 'kembali', 'dana', 'tolong', 'bantu']	negative
['daftar', 'wonder', 'buka', 'puluh', 'menit', 'suruh', 'masuk', 'data', 'pasword', 'pin', 'sebentar', 'aplikasi', 'ganti', 'pasword', 'masuk', 'dat', 'transaksi', 'pin', 'pakai']	negative
['install', 'buka', 'app', 'langsung', 'force', 'close', 'tolong', 'baik', 'min']	negative
['aplikasi', 'nyaman', 'coba', 'baik', 'isu', 'kamera', 'hp', 'seri', 'redmi', 'note', 'susah', 'autentifikasi', 'wajah']	positive
['tampil', 'oke', 'banding', 'fitur', 'pasword', 'hilang', 'mudah', 'guna', 'bsi', 'fitur', 'tarik', 'tunai', 'setor', 'tunai', 'sih', 'kurang']	positive
['aplikasi', 'bagus', 'fitur', 'tarik', 'tunai', 'kartu', 'aplikasi', 'lot', 'saran', 'bijak', 'tuju', 'tingkat', 'fitur', 'mundur', 'belakang']	negative
['aplikasi', 'enak', 'smooth', 'lengkap', 'kalo', 'lengkap', 'kayak', 'bni', 'mobile', 'banking', 'fitur', 'mobile', 'tunai', 'dll', 'kalo', 'lengkap', 'memilih', 'pakai', 'wondr', 'daripada']	neutral
['pakai', 'minggu', 'buka', 'aplikasi', 'lumayan', 'loadingnya', 'beda', 'pakai', 'bni', 'mbangking', 'transaksi', 'bayar', 'gagal', 'rincian', 'uang', 'lumayan', 'oke', 'moga', 'tingkat', 'bayang', 'transaksi', 'nontunai', 'eh', 'aplikasi', 'banget', 'buka', 'lucu']	negative
['bintang', 'tolong', 'baik', 'susah', 'loginjaringan', 'bagus', 'susah', 'masuk', 'gambar', 'muncullelet', 'sekalitolong', 'baik', 'ringan', 'login', 'enggak', 'leletsupaya', 'puas', 'guna', 'bni', 'wondrterima', 'kasih']	positive
['anjay', 'wonder', 'nomor', 'hati', 'baca', 'wonder', 'memang', 'kece', 'badai', 'leg', 'jujur', 'adil', 'cepat', 'cepat', 'kilat', 'senggol', 'dong', 'kayak', 'bank', 'tetangga', 'wkkwkwk']	positive
['mudah', 'transaksi']	positive
['kecewa', 'aplikasi', 'wondr', 'by', 'bni', 'karena', 'bayar', 'ukt', 'aplikasi', 'wondr', 'by', 'bni', 'bukti', 'transfer', 'gagal', 'saldo', 'tarik', 'nominal', 'enggak']	negative
['transaksi', 'jam', 'malam', 'sudah', 'enggak', 'aneh', 'memang', 'wondr', 'beda', 'bank']	negative
['aplikasi', 'transfer', 'error', 'mulu', 'ui', 'lumayan', 'bagus']	negative
['transaksi', 'mudah']	positive
['sebelumnyauntuk', 'depan', 'mohon', 'ketat', 'aman', 'takut', 'halhal']	positive
['buka', 'langsung', 'force', 'close', 'tulis', 'wondr', 'by', 'bni', 'henti', 'reinstall']	neutral
['aplikasi', 'banyak', 'kendalamembuang', 'waktusangat', 'sayang', 'kendala', 'situasi', 'genting']	neutral
['suka', 'apk', 'ya', 'mmuaskan', 'lebih', 'nyaman', 'pakai', 'bni', 'mobile', 'password', 'loginnya', 'gilir', 'tf', 'salah', 'pin', 'ya', 'sudah', 'ganti', 'pin', 'login', 'ulang', 'malah', 'salahpdhl', 'sudah', 'benermembagongkan']	neutral
['halo', 'kak', 'tanggal', 'okt', 'kemarin', 'buka', 'tabung', 'akun', 'wondr', 'pilih', 'opsi', 'kirim', 'kartu', 'fisik', 'bni', 'debit', 'kartu', 'terima', 'max', 'kerja', 'mohon', 'solusi']	neutral
['praktis', 'simpel']	positive
['ganti', 'perangkat', 'ribet', 'banget']	neutral
['aplikasi', 'buka', 'begini', 'nanti', 'kalau', 'bagus', 'kasih', 'bintang']	neutral
['november', 'transaksi', 'gagal', 'saldo', 'kirim', 'lapor', 'kali', 'kali', 'selesai', 'terfollow', 'up', 'kecewa']	negative
['tampil', 'tarik', 'guna', 'mudah', 'kemarin', 'belanja', 'bayar', 'pakai', 'qris', 'wondr', 'gampang', 'banget']	positive
['inovatif', 'yatambah', 'fitur', 'tren']	positive
['halo', 'bni', 'kasih', 'saran', 'tampil', 'history', 'transaksi', 'samain', 'app', 'mbanking', 'sisa', 'saldo', 'transaksi', 'debet', 'kredit', 'kanan', 'nominal', 'debet', 'kredit', 'tampil', 'notifikasi', 'transaksi', 'sisa', 'saldo', 'transaksi', 'history', 'terima', 'kasih']	neutral
['eror', 'maintenance', 'jam', 'malam', 'enggak', 'baik', 'sih', 'bank', 'kelas', 'bni']	negative
['sip', 'keren', 'aplikasi', 'fitur', 'mantap']	positive
['mudah', 'bantu']	positive
['aplikasi', 'bantu']	positive
['wonder', 'tanggal', 'maret', 'enggak', 'buka', 'pencet', 'aplikasi', 'wonder', 'enggak', 'masuk', 'kenapa', 'ya', 'tolong']	neutral
['kok', 'bisa', 'pakai', 'hp', 'hp', 'terinstal', 'aplikasi', 'rusakmalah', 'muncul', 'seperti', 'lagigk', 'bisa', 'log', 'ini', 'daftar', 'lgmohon', 'jelas']	positive
['bintang', 'lot', 'notif', 'transaksi', 'masuk', 'enggak', 'lambat']	neutral
['buka', 'apl', 'login', 'login', 'suruh', 'verivikasi', 'sudah', 'verivikasi', 'eh', 'gagal', 'aneh', 'banget', 'bingung', 'login']	negative
['aplikasi', 'enggak jelas', 'orang', 'butuh', 'cepat', 'ganggu', 'banget', 'enggak', 'kayak', 'bank', 'belah', 'aplikasi', 'aman', 'lancar', 'jaya']	negative
['cepat', 'kalo', 'urus', 'transfer', 'dll', 'sayang', 'fitur', 'mobile', 'tunai', 'huhu']	positive
['eror', 'top', 'up', 'dana', 'enggak', 'kirim', 'terang', 'top', 'up', 'hasil', 'tolong', 'baik', 'informasi', 'transaksi', 'gagal', 'pasti', 'kasih', 'bintang', 'dulu', 'baik', 'bintang']	negative
['pakai', 'bentar', 'langsung', 'pikir', 'hapus', 'akun', 'wondr', 'riwayat', 'transaksi', 'uang', 'masuk', 'saldo', 'uang', 'masuk', 'download', 'estatement', 'catat', 'transaksi', 'bingung', 'menu']	negative
['aplikasi', 'sat', 'set', 'jaman', 'nowsuka', 'banget', 'promo', 'wondr', 'bni', 'tampil', 'aplikasi', 'enak', 'dilihatsimple', 'mudah', 'digunain']	positive
['top', 'up', 'e', 'wallet', 'batas', 'hari', 'mending', 'batas', 'top', 'up']	neutral
['bagus', 'tampil', 'bosan', 'mudah', 'maju', 'bni', 'wondr', 'jadikan', 'mu']	positive
